Name,Series,Subgenre,Secondary genre,Year of release,Primarily vertical or horizontal,Backtracking,Physical structure,Jump combat,Melee combat,Ranged combat,2D/3D,Collectibles,Power-up,Swimming,Air control,Airjump,Walljump,Leeway for Errors,Multiplayer,Story,Notes
Banjo-Kazooie,Banjo-Kazooie,Collectathon,,1998,Mixed,Yes,Open,No,Yes,Yes,3,Yes,Yes,Yes,Weak,Yes,No,Moderate,No,Cue,
Castlevania: Symphony of the Night,Castlevania,Metroidvania,RPG,1997,Mixed,Yes,Open,No,Yes,Yes,2,No,No,No,Weak,Yes,No,Moderate,No,Yes,
Donkey Kong Country,Donkey Kong Country,,,1994,Horizontal,No,Linear,Yes,Yes,Yes,2,Yes,Yes,Yes,Weak,No,No,Low,No,No,
Donkey Kong Country 2,Donkey Kong Country,,,1995,Horizontal,No,Linear,Yes,Yes,Yes,2,Yes,Yes,Yes,Weak,Yes,No,Low,No,No,
Donkey Kong Country 3,Donkey Kong Country,,,1996,Horizontal,No,Linear,Yes,Yes,Yes,2,Yes,Yes,Yes,Weak,Yes,No,Low,No,No,
Donkey Kong 64,Donkey Kong Country,Collectathon,,1999,Horizontal,Yes,Open,No,Yes,Yes,3,Yes,Yes,Yes,Weak,Slightly/Special,No,Moderate,No,Cue,
Donkey Kong Country Returns,Donkey Kong Country,,,2010,Horizontal,No,Linear,Yes,Yes,Yes,2,Yes,Yes,Yes,Weak,Yes,No,Moderate,Co-op,No,
Donkey Kong Country: Tropical Freeze,Donkey Kong Country,,,2014,Horizontal,No,Linear,Yes,Yes,Yes,2,Yes,Yes,Yes,Weak,Yes,No,Moderate,Co-op,No,
Kirby's Dream Land,Kirby,Action,,1992,Horizontal,No,Linear,No,Yes,Yes,2,No,Yes,Yes,Strong,Yes,No,Moderate,No,No,"The player has clumsy-but-unlimited flight throughout the game, and precise jumping is generally not required."
Kirby's Adventure,Kirby,Action,,1993,Horizontal,No,Linear,No,Yes,Yes,2,No,Yes,Yes,Strong,Yes,No,Moderate,No,No,"The player has clumsy-but-unlimited flight throughout the game, and precise jumping is generally not required."
Kirby's Dream Land 2,Kirby,Action,,1995,Horizontal,No,Linear,No,Yes,Yes,2,Yes,Yes,Yes,Strong,Yes,No,Moderate,No,No,"The player has clumsy-but-unlimited flight throughout the game, and precise jumping is generally not required."
Kirby Super Star,Kirby,Action,,1996,Horizontal,No,Linear,No,Yes,Yes,2,Yes,Yes,Yes,Strong,Yes,No,Moderate,Co-op,No,"The player has clumsy-but-unlimited flight throughout the game, and precise jumping is generally not required."
Kirby's Dream Land 3,Kirby,Action,,1997,Horizontal,No,Linear,No,Yes,Yes,2,Yes,Yes,Yes,Strong,Yes,No,Moderate,Co-op,No,"The player has clumsy-but-unlimited flight throughout the game, and precise jumping is generally not required."
Kirby 64: The Crystal Shards,Kirby,Action,,2000,Horizontal,No,Linear,No,Yes,Yes,2,Yes,Yes,Yes,Strong,Yes,No,Moderate,No,No,"The only Kirby game to provide flight but limit its duration. Unlimited for most practical purposes, except a few optional puzzles."
Kirby & the Amazing Mirror,Kirby,Action,,2004,Horizontal,No,Linear,No,Yes,Yes,2,Yes,Yes,Yes,Strong,Yes,No,Moderate,Co-op,No,"The player has clumsy-but-unlimited flight throughout the game, and precise jumping is generally not required."
Kirby: Canvas Curse,Kirby,Action,,2005,Horizontal,No,Linear,No,Yes,Yes,2,Yes,Yes,Sink,Strong,No,No,Moderate,No,No,"The player does not directly control Kirby, instead drawing platforms to guide him or allow him to cross gaps."
Kirby: Squeak Squad,Kirby,Action,,2006,Horizontal,No,Linear,No,Yes,Yes,2,Yes,Yes,Yes,Strong,Yes,No,Moderate,No,No,"The player has clumsy-but-unlimited flight throughout the game, and precise jumping is generally not required."
Kirby's Epic Yarn,Kirby,Action,,2010,Horizontal,No,Linear,No,Yes,Yes,2,Yes,Yes,Yes,Weak,No,No,High,Co-op,No,"The player has clumsy-but-unlimited flight throughout the game, and precise jumping is generally not required."
Kirby's Return to Dream Land,Kirby,Action,,2011,Horizontal,No,Linear,No,Yes,Yes,2,Yes,Yes,Yes,Strong,Yes,No,Moderate,Co-op,No,"The player has clumsy-but-unlimited flight throughout the game, and precise jumping is generally not required."
Kirby: Triple Deluxe,Kirby,Action,,2014,Horizontal,No,Linear,No,Yes,Yes,2,Yes,Yes,Yes,Strong,Yes,No,Moderate,No,No,"The player has clumsy-but-unlimited flight throughout the game, and precise jumping is generally not required."
Kirby and the Rainbow Curse,Kirby,Action,,2015,Horizontal,No,Linear,No,Yes,Yes,2,Yes,Yes,Sink,Weak,No,No,Moderate,Co-op,No,"The player does not directly control Kirby, instead drawing platforms to guide him or allow him to cross gaps."
Kirby: Planet Robobot,Kirby,Action,,2016,Horizontal,No,Linear,No,Yes,Yes,2,Yes,Yes,Yes,Strong,Yes,No,Moderate,No,No,"The player has clumsy-but-unlimited flight throughout the game, and precise jumping is generally not required."
Kirby: Star Allies,Kirby,Action,,2018,Horizontal,No,Linear,No,Yes,Yes,2,Yes,Yes,Yes,Strong,Yes,No,Moderate,Co-op,No,"The player has clumsy-but-unlimited flight throughout the game, and precise jumping is generally not required."
